home_no,host_name,host_age,host_phone,host_gender,guardian_name,guardian_phone,relation,host_register_no,host_account_no,host_bank,rent,lat,lng,introduce,host_personality_no,home_option_no,si,sgg,emd,ro,detail,register_member_role
246,한수빈,84,01021699182,F,이정호,01074774062,자녀,540602-1061143,090-087190772448,카카오,43,37.509296,126.931714,"넓은방 아주 깨끗함, 바로 입주, 침대도 있음",246,246,서울,동작구,empty,여의대방로36길 101,empty,UNAUTHORIZED_MEMBER
247,김병철,89,01068737861,M,노정숙,01031694994,자녀,440018-1444272,008-705471794043,SC제일,45,37.512176,126.946913,깔끔하고 학원가에 인접한 원룸입니다,247,247,서울,동작구,empty,만양로14바길 5,empty,USER
248,김영희,99,01001145415,F,김종수,01027934547,자녀,720408-2274610,009-964541222753,우체국,30,37.502483,126.924278,empty,248,248,서울,동작구,empty,대방동27길 61,empty,UNAUTHORIZED_MEMBER
249,김민지,70,01056386491,F,강지현,01078244636,자녀,340523-2505087,003-505783278712,신한,40,37.502583,126.927677,empty,249,249,서울,동작구,empty,대방동2길 33,empty,UNAUTHORIZED_MEMBER
250,박은지,91,01032333597,F,김미숙,01060153132,자녀,120017-2589235,002-243159242740,우리,35,37.502724,126.924984,empty,250,250,서울,동작구,empty,대방동15길 5,empty,USER
251,이경수,65,01011219217,M,양수빈,01013540415,자녀,140319-2708222,018-722144810945,수협,35,37.501324,126.927407,empty,251,251,서울,동작구,empty,대방동5길 4,empty,USER
252,진지혜,94,01064283351,F,최시우,01043194181,자녀,010103-2934970,015-490317417763,대구,45,37.501173,126.925904,초역세권 합리적인 금액에 좋은 컨디션을 보여주는 원룸 소개해드립니다,252,252,서울,동작구,empty,대방동3길 29,empty,USER
253,윤상훈,71,01042734631,M,이은영,01063846920,자녀,400627-2472657,004-984414169920,하나,40,37.500373,126.933337,채광 좋은 가성비 꿀 매물,253,253,서울,동작구,empty,성대로3길 17,empty,USER
254,오순옥,65,01025715935,F,김은서,01037726499,자녀,350324-2027942,013-187059188284,부산,45,37.501511,126.950602,상도역4분. 화장실이 넓은방. 화이트톤. 안전한집,254,254,서울,동작구,empty,상도로47가길 38,empty,UNAUTHORIZED_MEMBER
255,김도현,97,01091001118,M,박재현,01029115652,자녀,360208-2065128,017-265364709473,광주,35,37.500656,126.934141,중문이 있어 분리형 느낌이 나는 지층 깔끔한 원룸입니다,255,255,서울,동작구,empty,성대로5길 38,empty,USER
256,김지연,94,01065381722,F,김주원,01075843485,자녀,920301-2635268,002-436128975107,우리,40,37.513009,126.945274,노량진역 300m로 최고의 입지,256,256,서울,동작구,empty,만양로18길 18,empty,USER
257,곽예준,99,01055762752,M,송영철,01018541344,자녀,820321-1424365,017-386819151235,광주,45,37.500139,126.927603,empty,257,257,서울,동작구,empty,대방동1길 1,empty,UNAUTHORIZED_MEMBER
258,이건우,94,01007006100,M,권우진,01065304162,자녀,100407-1846932,004-594925998635,하나,40,37.501137,126.952358,화이트톤 가성비 좋은 원룸이 왔어요,258,258,서울,동작구,empty,상도로47길 44,empty,UNAUTHORIZED_MEMBER
259,남영수,96,01096623674,M,김현지,01006771691,자녀,950905-1583093,020-793706024037,제주,52,37.50445,126.925157,서울지방병무청역 보라매역 초근접 대방동 깔끔한분리형원룸,259,259,서울,동작구,empty,대방동길 71,empty,UNAUTHORIZED_MEMBER
260,김진우,89,01053388136,M,황종수,01051299429,자녀,350914-2765661,012-369290969882,토스,43,37.511864,126.947406,학원가 가성비 좋은 풀옵션 원룸,260,260,서울,동작구,empty,만양로14아길 4,empty,UNAUTHORIZED_MEMBER
261,오성민,96,01052013692,M,정정희,01075295018,자녀,960907-2862584,003-172174912439,신한,60,37.505552,126.956334,중문 초입 대형원룸 평지 월차임에 전기만 별도,261,261,서울,동작구,empty,흑석로6길 27,empty,UNAUTHORIZED_MEMBER
262,김현준,78,01090269271,M,박민재,01047171401,자녀,790524-1072721,008-118842280197,SC제일,40,37.508545,126.94638,안심추천.깔끔.풀옵션.가성비굿.합격방.,262,262,서울,동작구,empty,만양로11길 3,empty,UNAUTHORIZED_MEMBER
263,조지아,81,01030152020,F,김예준,01008590724,자녀,230523-2118334,008-454176030935,SC제일,60,37.508188,126.95698,신축원룸 정남향 녋은원룸 중앙대4분거리 중대병원6분거리 깨끗한원룸,263,263,서울,동작구,empty,흑석로5길 36,empty,UNAUTHORIZED_MEMBER
264,이성수,89,01044578437,M,김예은,01087392219,자녀,600412-2446369,007-943402731639,씨티,40,37.511081,126.947823,학원가인접 채광좋은 저렴한집,264,264,서울,동작구,empty,만양로12가길 10,empty,UNAUTHORIZED_MEMBER
265,하정순,66,01033977095,F,김현숙,01002981811,자녀,100911-2783516,007-588047783741,씨티,25,37.503941,126.924635,"리모델링해줌,혼자살기좋음",265,265,서울,동작구,empty,대방동23길 13,empty,USER
266,문민준,89,01005220078,M,이서영,01012088835,자녀,010821-2999961,009-794434962925,우체국,40,37.501772,126.947055,상도역 코앞 1.5룸형 리모델링 원룸,266,266,서울,동작구,empty,양녕로36가길 1,empty,USER
267,황채원,86,01067175347,F,강성진,01029426528,자녀,270619-2053187,002-453996408390,우리,43,37.500874,126.936696,말도 안되는 매물 나왔습니다,267,267,서울,동작구,empty,성대로21길 69,empty,UNAUTHORIZED_MEMBER
268,이미영,71,01051546966,F,김순옥,01099383479,자녀,980819-1938576,006-357283709693,기업,49,37.507749,126.932143,분리형 꿀방깔끔한 화이트톤풀옵션,268,268,서울,동작구,empty,등용로 73,empty,USER
269,이지훈,86,01004185006,M,이은경,01069403426,자녀,320310-1950047,014-591895497552,경남,32,37.501191,126.948946,저렴하다상도역역세권당일입주,269,269,서울,동작구,empty,상도로 296,empty,USER
270,박미영,81,01093525362,F,이정희,01061834031,자녀,480213-1770830,008-836372083610,SC제일,40,37.502735,126.945602,"바로입주,투룸,거실,반지층 햇빛들어옴,상도역 5분",270,270,서울,동작구,empty,상도로34길 57,empty,UNAUTHORIZED_MEMBER
271,강재현,93,01080384307,M,김정순,01095828118,자녀,730318-1239338,004-283039157492,하나,35,37.504562,126.935673,empty,271,271,서울,동작구,empty,상도로15차길 5,empty,UNAUTHORIZED_MEMBER
272,이상호,85,01001090137,M,오은서,01027356777,자녀,440204-2399754,090-856628235630,카카오,55,37.508656,126.944549,더블역세권 채광좋은 저렴한 1.5룸 월세 빠른입주,272,272,서울,동작구,empty,만양로13가길 34,empty,USER
273,이상현,78,01019117522,M,강예준,01003568676,자녀,790302-1805504,018-896129760414,수협,55,37.509139,126.946723,노량진역.신축급넓은원룸. 주거지역으로 쾌적.,273,273,서울,동작구,empty,만양로10길 6,empty,UNAUTHORIZED_MEMBER
274,이도윤,83,01037736028,M,장영숙,01030072302,자녀,870516-1124057,008-306937047846,SC제일,45,37.502288,126.933696,신대방삼거리역 도보5분 지상층 가성비최고 채광치안좋음 보증금조절가능,274,274,서울,동작구,empty,상도로15길 33,empty,UNAUTHORIZED_MEMBER
275,백정수,98,01038564939,M,하재호,01042717042,자녀,180526-2706920,009-316816692731,우체국,40,37.512288,126.93532,위치 좋고 가성비 좋은 원룸입니다,275,275,서울,동작구,empty,등용로14길 68,empty,USER
276,이예은,73,01027958300,F,노정웅,01035744534,자녀,470127-1629028,018-348725256305,수협,35,37.500817,126.924228,보라매역 초역세권 신축원룸,276,276,서울,동작구,empty,대방동27길 97,empty,USER
277,김서영,83,01062586469,F,강성민,01033638871,자녀,940904-2277482,007-983318339280,씨티,40,37.511082,126.947823,노량진 학원가부근 가격대비 방크고 채광과 통풍좋은 깨끗한 원룸,277,277,서울,동작구,empty,만양로12가길 10,empty,UNAUTHORIZED_MEMBER
278,김춘자,92,01013316843,F,김종수,01082802428,자녀,410013-2584132,015-649902990490,대구,40,37.512389,126.935522,깔끔하고 공부하기에도 좋은 원룸,278,278,서울,동작구,empty,등용로14길 72,empty,USER
279,김지훈,87,01078270096,M,김건우,01070819861,자녀,700826-2333800,009-487702664715,우체국,40,37.511377,126.947417,노량진 가성비좋은 깨끗한 풀옵션 원룸 즉시입주가능,279,279,서울,동작구,empty,만양로14바길 21,empty,USER
280,손종수,74,01041859332,M,남영일,01087516388,자녀,020214-2485388,005-382914233664,농협,40,37.508459,126.947545,저렴한가격에 정말 깔끔한 귀한 원룸,280,280,서울,동작구,empty,만양로6길 8,empty,USER
281,강민재,98,01002733901,M,박예은,01003638623,자녀,840210-1713291,017-255486894037,광주,32,37.50877,126.947283,신축으로 방이크고 방음이 좋은 풀옵션원룸,281,281,서울,동작구,empty,만양로6길 16,empty,UNAUTHORIZED_MEMBER
282,송정희,67,01066001316,F,김영진,01058525741,자녀,840400-1788506,005-747068466859,농협,39,37.501733,126.933484,7호선 역세권 풀옵션 보증금 적은 가성비 원룸,282,282,서울,동작구,empty,상도로 123,empty,UNAUTHORIZED_MEMBER
283,이예준,94,01085650337,M,김지혜,01046853247,자녀,690121-2315211,018-143336595346,수협,43,37.511864,126.947406,노량진 무융자 리모델링한 깨끗한 위치좋은 풀옵션입니다,283,283,서울,동작구,empty,만양로14아길 4,empty,UNAUTHORIZED_MEMBER
284,이영식,65,01098665648,M,곽수빈,01049146683,자녀,140119-1076426,017-547974946357,광주,47,37.510569,126.945912,CCTV가 설치되었으며 밝고 깨끗한 신축 원룸,284,284,서울,동작구,empty,만양로14라길 26,empty,UNAUTHORIZED_MEMBER
285,고상훈,86,01083577516,M,박영순,01017663821,자녀,120108-2755975,020-355345116872,제주,46,37.508989,126.941266,깔끔한 원룸 찾으시는분 구경하세요,285,285,서울,동작구,empty,장승배기로22길 29,empty,UNAUTHORIZED_MEMBER
286,김순옥,95,01095923853,F,장순자,01063672653,자녀,440307-2479159,002-932594070027,우리,28,37.500941,126.930359,역세권 진짜 역 3분 인테리어 풀옵션반할수밖에,286,286,서울,동작구,empty,상도로13다길 1,empty,UNAUTHORIZED_MEMBER
287,이은경,76,01096425478,F,이준영,01072779345,자녀,620511-2501309,005-434630049292,농협,40,37.504386,126.951676,중대후문가까운 넓은 가성비 원룸,287,287,서울,동작구,empty,상도로47길 115,empty,UNAUTHORIZED_MEMBER
288,박영순,86,01064883435,F,강준영,01002559708,자녀,250806-2841145,006-802384615056,기업,46,37.508989,126.941266,깔끔한 원룸 찾으시는분 구경하세요,288,288,서울,동작구,empty,장승배기로22길 29,empty,USER
289,이현우,95,01093749418,M,이정식,01055016287,자녀,140924-2373511,013-072747273165,부산,36,37.508989,126.941266,깔끔한 원룸 찾으시는분 구경하세요,289,289,서울,동작구,empty,장승배기로22길 29,empty,USER
290,최성수,88,01011498055,M,이명자,01007451856,자녀,970319-2697450,090-803997993890,카카오,35,37.511878,126.955386,노들역3분 방1 넓고 분리형으로 내부좋습니다,290,290,서울,동작구,empty,노량진로28길 24,empty,UNAUTHORIZED_MEMBER
291,이건우,73,01002511458,M,한경희,01079388440,자녀,600606-1004114,003-806153313364,신한,37,37.512074,126.936564,깔끔한 풀옵션 원룸 나왔습니다.,291,291,서울,동작구,empty,노량진로6가길 19,empty,UNAUTHORIZED_MEMBER
292,남현우,66,01014899817,M,고영자,01085915207,자녀,320801-1504989,007-117497705093,씨티,25,37.501423,126.927804,7호선 신대방삼거리역확인매물취향저격풀옵션역도보3분,292,292,서울,동작구,empty,대방동길 19,empty,USER
293,최은주,72,01067199169,F,임중수,01045406883,자녀,950914-2874082,014-377345257686,경남,45,37.500676,126.930013,초역세권 엘베있음 대형창문있는 원룸 주차가능 즉시입주,293,293,서울,동작구,empty,상도로13나길 8,empty,USER
294,주성민,80,01003348893,M,이현주,01032986835,자녀,990226-2854760,001-181251051474,국민,40,37.501837,126.924584,실제사진O｜즉시 입주O｜현관보안O｜주차O｜보라매역 인근의 원룸,294,294,서울,동작구,empty,대방동27길 73,empty,UNAUTHORIZED_MEMBER
295,하주원,74,01023178200,M,양지연,01084804434,자녀,930006-1028377,004-290770390806,하나,34,37.509568,126.946013,가성비좋은 깔끔한 풀옵션 원룸,295,295,서울,동작구,empty,만양로12길 6,empty,USER
296,이준호,97,01017567050,M,전정자,01006453790,자녀,370929-1292030,020-663149785116,제주,40,37.511298,126.944095,가성비최고 관리잘 된 풀옵션 원룸 학원가 인근 입지굿,296,296,서울,동작구,empty,만양로15길 4,empty,USER
297,이은정,96,01084742133,F,이지후,01081381847,자녀,250920-2046397,016-030380405408,전북,40,37.501173,126.925904,실제사진O｜즉시 입주O｜현관보안O｜인근에 학교가 많은 아늑한 방,297,297,서울,동작구,empty,대방동3길 29,empty,UNAUTHORIZED_MEMBER
298,김성민,91,01036312478,M,김서영,01032988232,자녀,650729-2273267,090-691500212545,카카오,38,37.501832,126.92791,실제사진O｜즉시 입주O｜현관보안O｜신대방삼거리역과 가까운 가성비방,298,298,서울,동작구,empty,대방동길 27,empty,UNAUTHORIZED_MEMBER
299,김예준,92,01037512716,M,남예원,01013871801,자녀,450417-2412563,014-133820952115,경남,35,37.500656,126.934141,상태좋은 지층 원룸 입니다  구경 오세요,299,299,서울,동작구,empty,성대로5길 38,empty,USER
300,김준영,86,01098597411,M,김옥순,01096526062,자녀,460502-1333899,009-140768509364,우체국,50,37.501511,126.950602,상도역 중대후문 신축급 풀옵션 원룸,300,300,서울,동작구,empty,상도로47가길 38,empty,USER
301,이영순,87,01016951500,F,홍상현,01030640233,자녀,650912-2111061,002-961808099668,우리,60,37.508188,126.95698,정문 중문 7분 신축급 원룸 보증금 부담 없는 집,301,301,서울,동작구,empty,흑석로5길 36,empty,UNAUTHORIZED_MEMBER
302,박현주,82,01010206359,F,김정자,01058435739,자녀,390526-1721839,006-224066528576,기업,50,37.50054,126.924358,"깔끔하고 넓은 원룸, 보라매역 초역세권, 조용한 동네",302,302,서울,동작구,empty,대방동1길 30,empty,UNAUTHORIZED_MEMBER
303,김미영,78,01052439467,F,민보람,01096016317,자녀,980517-2682051,005-493357592094,농협,49,37.506221,126.948326,상도역.신축급 컨디션. 주거지역 조용하고 안전해요,303,303,서울,동작구,empty,만양로 20,empty,USER
304,한영일,75,01097667594,M,김지후,01034657617,자녀,250523-2227416,012-282168746679,토스,55,37.512324,126.943333,새단장한 풀옵션 넓은 원룸,304,304,서울,동작구,empty,노량진로14나길 8,empty,USER
305,김미숙,81,01056686345,F,김명자,01004441012,자녀,770621-1334392,012-442699334398,토스,52,37.501142,126.950621,"상도역 5분, 중앙대 10분 채광좋은 풀옵션",305,305,서울,동작구,empty,상도로43길 14,empty,USER
306,오채원,65,01038692616,F,송숙자,01005917411,자녀,540201-1457245,090-156408592715,카카오,40,37.51255,126.943223,노량진역 학원가 인접 채광좋은 풀옵션 원룸,306,306,서울,동작구,empty,노량진로14가길 14,empty,UNAUTHORIZED_MEMBER
307,이유진,96,01045985695,F,주준영,01059305496,자녀,770422-1171970,011-110991384483,산업,30,37.500217,126.939336,2018년식 보증금조절가능 분리형 넓은 평수 쾌적한 집,307,307,서울,동작구,empty,성대로31길 26,empty,UNAUTHORIZED_MEMBER
308,김미경,65,01001127564,F,김진우,01016259844,자녀,700714-2971726,015-294654074509,대구,35,37.501106,126.935096,수리됨평지역세권옥탑방5백에25만원있음여자분환영옵션에어콘있음,308,308,서울,동작구,empty,성대로29길 108,empty,USER
309,김성호,92,01010407320,M,황영미,01005698927,자녀,400016-2383865,008-600443448774,SC제일,49,37.501649,126.93424,7호선 역세권 꿀매물 넓고 깔끔한 리모델링 원룸,309,309,서울,동작구,empty,상도로 128,empty,UNAUTHORIZED_MEMBER
310,박춘자,89,01031920314,F,고서영,01035328594,자녀,950119-2149595,008-217370375370,SC제일,40,37.502735,126.945602,상도역 역세권 가성비 좋은 반지층 2룸,310,310,서울,동작구,empty,상도로34길 57,empty,UNAUTHORIZED_MEMBER
311,김하윤,88,01088699872,F,문정식,01065043409,자녀,490414-2243014,014-300748245397,경남,38,37.511277,126.941834,조용하고 깨끗한 신축급원룸입니다.,311,311,서울,동작구,empty,장승배기로26길 42,empty,USER
312,김예지,84,01087695803,F,배미경,01011484006,자녀,340103-1034199,006-522128641553,기업,45,37.513028,126.942476,지하철2분거리  리모델링해서 깨끗합니다.,312,312,서울,동작구,empty,노량진로14길 9,empty,USER
313,서영철,83,01074341003,M,배하윤,01050002726,자녀,100916-1116041,005-854843742195,농협,48,37.512242,126.945966,채광굿 크기굿 위치굿 관리잘된 풀옵션 원룸,313,313,서울,동작구,empty,만양로14길 35,empty,UNAUTHORIZED_MEMBER
314,박혜진,88,01001483830,F,이하은,01010577402,자녀,460026-2310129,090-086352316266,카카오,33,37.500816,126.924228,"급함 계약방 너어,무나도 아름답소,",314,314,서울,동작구,empty,대방동27길 97,empty,UNAUTHORIZED_MEMBER
315,최상훈,76,01039063876,M,백정수,01047451852,자녀,830301-1969517,008-102556504369,SC제일,35,37.505853,126.95492,중앙대 중문5분 1층 원룸,315,315,서울,동작구,흑석동,empty,empty,USER
316,안미경,66,01092615449,F,이현숙,01022113090,자녀,050823-2450883,090-698310564445,카카오,47,37.500712,126.934578,완전신축 TV 스타일러 무인택배함 이런방이 이가격 무야호,316,316,서울,동작구,empty,성대로29길 122,empty,UNAUTHORIZED_MEMBER
317,최현주,88,01014177000,F,임정자,01089869822,자녀,180620-2991347,014-091502778762,경남,35,37.511765,126.955285,노들역 초역세권 풀옵션 저렴한 원룸 월세,317,317,서울,동작구,empty,노량진로28길 16,empty,USER
318,나은주,66,01048744811,F,장숙자,01045705611,자녀,870218-1823497,004-079900546778,하나,45,37.506346,126.946436,상도역 풀옵션 저렴한 원룸 월세,318,318,서울,동작구,empty,만양로1길 15,empty,UNAUTHORIZED_MEMBER
319,이예원,99,01025831705,F,김민석,01055092182,자녀,510617-1209966,023-649335273037,케이,27,37.503849,126.934701,7호선 장승배기역 도보5분 원룸,319,319,서울,동작구,empty,상도로15아길 11,empty,UNAUTHORIZED_MEMBER
320,최영환,75,01031370617,M,김예진,01084505047,자녀,050014-1963913,014-950598952468,경남,50,37.508373,126.956318,empty,320,320,서울,동작구,empty,흑석로5길 43,empty,UNAUTHORIZED_MEMBER
321,이준서,83,01008531221,M,이정희,01038438438,자녀,420406-1972765,009-169225701238,우체국,35,37.500656,126.934141,empty,321,321,서울,동작구,empty,성대로5길 38,empty,UNAUTHORIZED_MEMBER
322,송준영,72,01079683995,M,이지후,01024477537,자녀,150113-2601376,004-753800503867,하나,55,37.505351,126.946073,empty,322,322,서울,동작구,empty,상도로31길 83,empty,UNAUTHORIZED_MEMBER
323,김상현,100,01001376856,M,최민재,01092909514,자녀,040101-2700210,001-999804381313,국민,40,37.506735,126.940371,empty,323,323,서울,동작구,empty,장승배기로16길 8,empty,UNAUTHORIZED_MEMBER
324,서정호,71,01003949385,M,박보람,01018560481,자녀,350611-2670415,015-357981554872,대구,40,37.510272,126.925894,"대방역 3번출구 신길초옆 노량진 공시생, 여의도 직장인 강력추천.",324,324,서울,동작구,empty,여의대방로46길 20,empty,UNAUTHORIZED_MEMBER
325,김중수,73,01052821570,M,박영희,01029522290,자녀,880801-2112875,002-111148090511,우리,36,37.501292,126.939943,장승베기역세권 이정도 분리형 본사람,325,325,서울,동작구,empty,장승배기로5길 18,empty,UNAUTHORIZED_MEMBER
326,이승현,66,01050208812,M,김수빈,01022609083,자녀,830726-1815691,007-227982174501,씨티,45,37.500712,126.934578,empty,326,326,서울,동작구,empty,성대로29길 122,empty,UNAUTHORIZED_MEMBER
327,박동현,78,01046967615,M,이영수,01000530462,자녀,750715-1603350,017-511638086416,광주,50,37.510096,126.941301,풀 옵션의 조용한 주택가 원룸입니다,327,327,서울,동작구,empty,장승배기로24길 23,empty,UNAUTHORIZED_MEMBER
328,김경숙,80,01067425545,F,박성진,01080671747,자녀,570019-1614266,012-543127147237,토스,45,37.510755,126.941418,조용하면서 전용이 넓은 원룸입니다,328,328,서울,동작구,empty,장승배기로24가길 22,empty,USER
329,황진호,90,01039388725,M,최현준,01082722841,자녀,900301-1615819,015-440537307924,대구,60,37.510344,126.938673,노량진역 동작구청 후문뒤 풀옵션 방3칸즉시입주가,329,329,서울,동작구,empty,장승배기로27가길 21,empty,USER
330,박미정,91,01074204582,F,하수빈,01074892458,자녀,330103-2984772,018-853467530818,수협,45,37.500739,126.930946,신대방삼거리역 도보3분 초역세권 융자없는 지상층 풀옵션 원룸,330,330,서울,동작구,empty,상도로13가길 8,empty,UNAUTHORIZED_MEMBER
331,이성현,72,01030612494,M,민건우,01013283864,자녀,270413-1462960,018-581802992481,수협,40,37.510007,126.945895,새단장한 풀옵션 넓은 원룸,331,331,서울,동작구,empty,만양로12길 9,empty,UNAUTHORIZED_MEMBER
332,이민준,65,01088044765,M,이성현,01072073089,자녀,540502-1397108,008-257757099153,SC제일,43,37.51255,126.943223,노량진역 초역세권 학원가 풀옵션 원룸,332,332,서울,동작구,empty,노량진로14가길 14,empty,USER
333,김지우,78,01083775369,F,이지훈,01075116800,자녀,930502-1476822,020-097579303103,제주,35,37.51147,126.926318,"대방역 바로앞, 저렴한 풀옵션 원룸 ,깨끗, 빠른입주가능",333,333,서울,동작구,empty,여의대방로46길 34,empty,USER
334,김예원,70,01035890557,F,황예원,01043705750,자녀,940221-1958444,002-354550960549,우리,42,37.510442,126.944243,학원가 마을버스길 인근 단기가능한 깔끔한 원룸,334,334,서울,동작구,empty,만양로13길 6,empty,USER
335,이은지,93,01025323018,F,박현주,01020033843,자녀,190209-1123998,018-857575337648,수협,40,37.50066,126.951552,융자없는집. 넓고관리잘되는집. 가성비좋은집,335,335,서울,동작구,empty,상도로45길 22,empty,UNAUTHORIZED_MEMBER
336,차영숙,78,01008295434,F,이명자,01064114065,자녀,970426-2265549,014-919116573645,경남,45,37.501948,126.950379,상도역. 대로변신축. 중대통학가,336,336,서울,동작구,empty,상도로41길 22,empty,UNAUTHORIZED_MEMBER
337,이영호,77,01024219366,M,김명숙,01025897383,자녀,840914-1950665,004-553825058026,하나,35,37.504286,126.924723,"S 즉시가능, 주차가능, 가성비 좋은 지상층 풀옵션",337,337,서울,동작구,empty,대방동25길 11,empty,USER
338,주성훈,78,01036898982,M,이현지,01021224003,자녀,260209-1266503,020-207370014182,제주,50,37.501948,126.950379,상도역 큰대로변 신축급 원룸,338,338,서울,동작구,empty,상도로41길 22,empty,USER
339,오영식,65,01092753819,M,최지우,01044246280,자녀,900726-1653515,090-351739447149,카카오,40,37.50066,126.951552,한학기가능. 중대통학가능한 가성비 원룸,339,339,서울,동작구,empty,상도로45길 22,empty,UNAUTHORIZED_MEMBER
340,김도윤,71,01018699080,M,김경희,01024543129,자녀,510628-1509876,002-217978023516,우리,42,37.503059,126.948727,empty,340,340,서울,동작구,empty,상도로37길 5,empty,UNAUTHORIZED_MEMBER
341,김지은,94,01033704301,F,이미영,01072201962,자녀,650517-2890384,014-688241345470,경남,30,37.504423,126.952741,중대후문앞 넓고 저렴한 원룸.,341,341,서울,동작구,empty,상도로47아길 33,empty,USER
342,최성현,91,01026681062,M,김성진,01031968699,자녀,330310-1725816,018-659907136566,수협,40,37.501837,126.924584,"S 지상층 풀옵션, 남향, 주차가능, 즉시가능, 역세권",342,342,서울,동작구,empty,대방동27길 73,empty,UNAUTHORIZED_MEMBER
343,김광수,87,01044057002,M,임지은,01022427173,자녀,460024-1183284,020-471753607766,제주,41,37.501564,126.948299,empty,343,343,서울,동작구,empty,상도로38길 3,empty,USER
344,윤중수,81,01094579652,M,이지우,01085837231,자녀,680828-1226111,004-411100374736,하나,45,37.510832,126.94097,투룸입니다,344,344,서울,동작구,empty,장승배기로24가길 14,empty,UNAUTHORIZED_MEMBER
345,김준혁,81,01042719102,M,김민재,01064945976,자녀,090616-1022848,009-025440488857,우체국,45,37.503396,126.933766,장승배기역 바로앞 깔끔한 양창 원룸,345,345,서울,동작구,empty,상도로15마길 20,empty,USER
346,서도현,98,01034435090,M,김정자,01054809717,자녀,550021-1947319,004-694596373981,하나,50,37.504181,126.934127,요즘 보기 힘든 큰방이면서 금액도 착해요,346,346,서울,동작구,empty,상도로15사길 62,empty,USER
347,손지혜,77,01088027467,F,서정호,01074013203,자녀,010405-1239719,003-499639887477,신한,45,37.502583,126.927677,신축급 깔끔한 지상층 원룸 월세,347,347,서울,동작구,empty,대방동2길 33,empty,UNAUTHORIZED_MEMBER
348,김서윤,77,01025818229,F,이지혜,01097449889,자녀,840503-2958688,005-913447007069,농협,45,37.502288,126.933696,"신대방삼거리역, 장승배기역 7호선 더블역세권 원룸",348,348,서울,동작구,empty,상도로15길 33,empty,UNAUTHORIZED_MEMBER
349,김정남,91,01063642905,M,이도현,01080605821,자녀,290916-2109899,001-231301014507,국민,35,37.504103,126.934724,조용한 주택가 깔끔한 가성비 원룸,349,349,서울,동작구,empty,상도로15아길 13,empty,USER
350,성현정,82,01002999426,F,최진호,01032671876,자녀,660025-2240902,011-613110838786,산업,37,37.512491,126.944764,노량진 학원가 3분거리 내 단기가능 풀옵션 원룸,350,350,서울,동작구,empty,만양로14가길 19,empty,USER
351,박승민,87,01032800880,M,김민준,01032786276,자녀,420704-1744331,012-723918751411,토스,35,37.511802,126.942184,노량진 학원가 단기가능한 깔끔한 반지층 원룸,351,351,서울,동작구,empty,장승배기로26길 19,empty,UNAUTHORIZED_MEMBER
352,이상호,68,01065725123,M,이지혜,01082861915,자녀,370919-2225085,014-761502417377,경남,47,37.511298,126.944095,안심추천.깔끔.풀옵션.가성비굿.,352,352,서울,동작구,empty,만양로15길 4,empty,USER
353,김현준,86,01085500031,M,이영호,01089024130,자녀,400309-2099590,001-342457789253,국민,42,37.51269,126.935376,올수리 되어있음 깨끗하고 조용함.개발지역 아님,353,353,서울,동작구,empty,등용로14길 77,empty,USER
354,강정희,91,01064936515,F,엄성현,01009537564,자녀,740317-2903979,002-451458879343,우리,38,37.511277,126.941834,노량진역 가까운  리모델링 깔끔한 풀옵션 원룸 가성비좋아요,354,354,서울,동작구,empty,장승배기로26길 42,empty,USER
355,이경숙,74,01012086147,F,박현우,01061175450,자녀,320208-2941376,008-036375046961,SC제일,43,37.508488,126.946086,실2층 지상층. 쾌적한 준신축. 풀옵션 관리잘되는집,355,355,서울,동작구,empty,만양로11길 13,empty,USER
356,김영희,67,01060773600,F,한옥자,01032771184,자녀,280104-2531862,008-362253529686,SC제일,38,37.501832,126.92791,신대방삼거리역 도보 3분 역세권 가성비 좋은 원룸,356,356,서울,동작구,empty,대방동길 27,empty,USER
357,박정남,69,01071624680,M,조성호,01060368234,자녀,270025-1764494,012-384941528138,토스,33,37.504157,126.94537,가성비  갑인 원룸 투척이요,357,357,서울,동작구,empty,상도로34가길 3,empty,USER
358,진상철,99,01007185729,M,권지영,01089133953,자녀,390818-1810140,005-603440269818,농협,32,37.502576,126.927457,"신림선, 7호선 더블역세권 원룸 가성비 좋은 원룸",358,358,서울,동작구,empty,대방동2길 33,empty,USER
359,백현준,92,01074261180,M,이예지,01033012759,자녀,930012-2543371,001-709051343047,국민,35,37.497969,126.931852,문.의.다.수신축 깔끔한 화이트톤 인테리어,359,359,서울,동작구,empty,성대로6나길 19,empty,UNAUTHORIZED_MEMBER
360,박성훈,93,01077856683,M,손영미,01020685431,자녀,000009-1401794,017-970458641996,광주,35,37.49447,126.929845,신대방삼거리역과 보라매병원역 사이 초가성비 원룸,360,360,서울,동작구,empty,국사봉6길 60,empty,UNAUTHORIZED_MEMBER
361,이은영,83,01047768654,F,이영길,01002082847,자녀,950107-1460265,017-993124336512,광주,42,37.495266,126.925819,"주차가능,보라매병원 도보5분, 방 넓고 깨끗한 풀옵션 1룸 월세",361,361,서울,동작구,empty,보라매로9길 26,empty,USER
362,이예원,76,01077459844,F,허민재,01096655916,자녀,420722-2158960,002-808721093184,우리,60,37.497614,126.933795,지상층 저렴한 풀옵션 투룸 즉시입주 융자무,362,362,서울,동작구,empty,성대로8길 13,empty,UNAUTHORIZED_MEMBER
